ticker,year,n_price_days,start_date,end_date,start_price,end_price,yearly_return
BOTZ,2022,251,2022-01-03,2022-12-30,35.6002,20.2052,-0.43244139077870347
BOTZ,2023,250,2023-01-03,2023-12-29,20.3531,27.9593,0.373712112651144
BOTZ,2024,252,2024-01-02,2024-12-31,27.3667,31.2981,0.1436563414660883
BOTZ,2025,250,2025-01-02,2025-12-31,32.0434,36.31,0.13315066441139223
BSCO,2016,252,2016-01-04,2016-12-30,15.571,16.5326,0.06175582814205893
BSCO,2017,251,2017-01-03,2017-12-29,16.5165,17.4235,0.05491478218750956
BSCO,2018,251,2018-01-02,2018-12-31,17.3651,17.1968,-0.00969185319980892
BSCO,2019,252,2019-01-02,2019-12-31,17.214,19.0248,0.10519344719414425
BSCO,2020,253,2020-01-02,2020-12-31,19.0248,20.2512,0.06446322694588136
BSCO,2021,252,2021-01-04,2021-12-31,20.2512,20.0428,-0.010290748202575695
BSCO,2022,251,2022-01-03,2022-12-30,19.9877,19.2188,-0.03846865822480816
BSCO,2023,250,2023-01-03,2023-12-29,19.2394,20.1594,0.04781853903967903
BSCO,2024,241,2024-01-02,2024-12-13,20.1498,21.12,0.04814936128398317
BSCP,2016,252,2016-01-04,2016-12-30,14.7644,15.4976,0.0496599929560293
BSCP,2017,251,2017-01-03,2017-12-29,15.5283,16.3884,0.055389192635382
BSCP,2018,251,2018-01-02,2018-12-31,16.3409,16.0773,-0.016131302437442208
BSCP,2019,252,2019-01-02,2019-12-31,16.11,18.0814,0.12237119801365615
BSCP,2020,253,2020-01-02,2020-12-31,18.0856,19.4604,0.07601627814393774
BSCP,2021,252,2021-01-04,2021-12-31,19.4346,19.1539,-0.014443312442756762
BSCP,2022,251,2022-01-03,2022-12-30,19.0666,17.965,-0.057776425791698616
BSCP,2023,250,2023-01-03,2023-12-29,17.9739,18.878,0.05030071381280643
BSCP,2024,252,2024-01-02,2024-12-31,18.8688,19.7827,0.04843445264139734
BSCP,2025,239,2025-01-02,2025-12-15,19.7734,20.68,0.045849474546613145
BSCQ,2017,251,2017-01-03,2017-12-29,14.7039,15.5276,0.05601915138160618
BSCQ,2018,251,2018-01-02,2018-12-31,15.4803,15.1568,-0.0208975278256881
BSCQ,2019,252,2019-01-02,2019-12-31,15.1608,17.2651,0.13879874412959747
BSCQ,2020,253,2020-01-02,2020-12-31,17.2651,18.8054,0.08921465847287302
BSCQ,2021,252,2021-01-04,2021-12-31,18.7968,18.4002,-0.021099336057201157
BSCQ,2022,251,2022-01-03,2022-12-30,18.3306,16.8706,-0.07964823846464386
BSCQ,2023,250,2023-01-03,2023-12-29,16.884,17.8342,0.0562781331438047
BSCQ,2024,252,2024-01-02,2024-12-31,17.7972,18.6393,0.047316431798260394
BSCQ,2025,250,2025-01-02,2025-12-31,18.6585,19.575,0.04911970415628253
BSV,2016,252,2016-01-04,2016-12-30,64.1598,65.0312,0.013581713159953601
BSV,2017,251,2017-01-03,2017-12-29,64.9984,65.7703,0.01187567693974012
