ticker,year,start_date,end_date,n_price_days,n_return_days,start_price,end_price,total_return,annualized_return,annualized_volatility,sharpe_ratio
IWS,2023,2023-01-03,2023-12-29,250,250,99.009,111.7558,0.1287438515690491,0.13093316581595427,0.16069307624568874,0.5036506096392914
IWS,2024,2024-01-02,2024-12-31,252,252,111.5252,126.1878,0.1314734248403051,0.13026345871289946,0.1326858791766048,0.6049133427835893
IWS,2025,2025-01-02,2025-12-31,250,250,125.7391,140.82,0.11993803041376938,0.128007321614503,0.18728758005256352,0.4165109164879472
UGL,2016,2016-01-04,2016-12-30,252,251,7.6,8.3,0.09210526315789491,0.14035909152540527,0.32338267313270797,0.27941846930161346
UGL,2017,2017-01-03,2017-12-29,251,251,8.4075,10.1675,0.20933690157597384,0.2239794354525606,0.20131383704527167,0.8642199562935952
UGL,2018,2018-01-02,2018-12-31,251,251,10.3975,9.3525,-0.10050492906948805,-0.06373068820312507,0.20133409140565042,-0.5648853972473994
UGL,2019,2019-01-02,2019-12-31,252,252,9.3425,12.2625,0.31255017393631257,0.2985882808250342,0.23525871254458758,1.0566591907958365
UGL,2020,2020-01-02,2020-12-31,253,253,12.425,17.05,0.37223340040241437,0.4127749888849637,0.41066378255668046,0.8833868587739241
UGL,2021,2021-01-04,2021-12-31,252,252,17.8425,14.9525,-0.16197281771052263,-0.09216888557241387,0.27893963739977656,-0.5096761682838832
UGL,2022,2022-01-03,2022-12-30,251,251,14.4825,13.8325,-0.044881753840842475,-0.030090988332915722,0.3108303583431722,-0.2576678441572663
UGL,2023,2023-01-03,2023-12-29,250,250,14.0475,15.9675,0.13667912439935925,0.18401130414620154,0.28163335635597325,0.47583605109906313
UGL,2024,2024-01-02,2024-12-31,252,252,15.895,23.32,0.46712802768166095,0.4291380083978752,0.3159891044883885,1.1998451940668327
UGL,2025,2025-01-02,2025-12-31,250,250,23.83,55.5325,1.330360889634914,0.9607489782130747,0.4112449384616652,2.214614437857626
INDA,2016,2016-01-04,2016-12-30,252,251,24.0556,24.1705,0.004776434593192436,0.024897279352530683,0.2007454939037243,-0.12504749252059605
INDA,2017,2017-01-03,2017-12-29,251,251,24.2787,32.8905,0.35470597684390026,0.3193959439544987,0.14126053199312433,1.907085724182401
INDA,2018,2018-01-02,2018-12-31,251,251,32.9543,30.6398,-0.07023362656770138,-0.04833376746652573,0.2139348431170201,-0.45964353460991947
INDA,2019,2019-01-02,2019-12-31,252,252,30.263,32.627,0.0781151901662096,0.0800017519073476,0.18595565162765246,0.16133820964700485
INDA,2020,2020-01-02,2020-12-31,253,253,33.0261,37.4648,0.1343997626119946,0.2331901980000667,0.43507070076944415,0.42105845711073103
INDA,2021,2021-01-04,2021-12-31,252,252,37.5486,45.4242,0.20974417155366631,0.20725767449676857,0.17077925154229423,0.9208242399271965
INDA,2022,2022-01-03,2022-12-30,251,251,46.1574,41.401,-0.10304739868363466,-0.07223762053377455,0.20474739707900505,-0.5970167253779897
INDA,2023,2023-01-03,2023-12-29,250,250,41.619,48.4888,0.1650640332540425,0.1688304143634377,0.13801957344861884,0.8609678424174759
INDA,2024,2024-01-02,2024-12-31,252,252,48.3201,52.71,0.09085039145200446,0.09416485651309259,0.14608686283612568,0.3023191521515178
INDA,2025,2025-01-02,2025-12-31,250,250,53.47,53.94,0.008789975687301332,0.03510876752319055,0.15442859401683648,-0.09642794828000534
EEM,2016,2016-01-04,2016-12-30,252,251,25.0213,28.4388,0.13658363074660396,0.1515224000898895,0.21444059927328468,0.47342900753839334
EEM,2017,2017-01-03,2017-12-29,251,251,28.7718,38.9938,0.3552784323539022,0.3245795979639043,0.12250073786662044,2.2414526046599677
EEM,2018,2018-01-02,2018-12-31,251,251,39.8056,33.0077,-0.17077747854573222,-0.14217329538200754,0.22427469305959125,-0.8568657157004597
EEM,2019,2019-01-02,2019-12-31,252,252,32.6438,39.1093,0.1980621128667619,0.18358178118158863,0.1668179836499844,0.8007636722301381
EEM,2020,2020-01-02,2020-12-31,253,253,39.8584,45.8063,0.14922575918752368,0.2069713981801199,0.3128010873808578,0.5018249760397921
EEM,2021,2021-01-04,2021-12-31,252,252,46.0719,43.9986,-0.04500139998567443,-0.02274605831359877,0.187291256061358,-0.38841139647099504
EEM,2022,2022-01-03,2022-12-30,251,251,44.1963,34.8584,-0.21128239241746471,-0.2021509386689239,0.2519921003354893,-1.0006303306064879
EEM,2023,2023-01-03,2023-12-29,250,250,35.0699,37.9777,0.08291440808214467,0.10072203465549719,0.16969616559447392,0.2988991205417603
EEM,2024,2024-01-02,2024-12-31,252,252,37.5432,40.9025,0.0894782543842827,0.08848842766366849,0.16949804442665242,0.22707298950769747
EEM,2025,2025-01-02,2025-12-31,250,250,40.7756,54.94,0.3473744101864842,0.3185442315336564,0.2057396947674388,1.3052621266752131
VNM,2016,2016-01-04,2016-12-30,252,251,13.1714,11.7592,-0.10721715231486406,-0.09098333988774572,0.21396477677373835,-0.6589091065060283
VNM,2017,2017-01-03,2017-12-29,251,251,11.9576,16.3199,0.36481400950023435,0.3384945832801312,0.1361455491604751,2.1190158992276853
VNM,2018,2018-01-02,2018-12-31,251,251,16.4295,13.5942,-0.17257372409385552,-0.1513989560478974,0.25319347946410864,-0.795435002805618
VNM,2019,2019-01-02,2019-12-31,252,252,13.7324,14.8379,0.08050304389618712,0.1000559466053017,0.1582852857511501,0.316238785985437
VNM,2020,2020-01-02,2020-12-31,253,253,15.0884,16.2975,0.08013440788950454,0.14809029049764613,0.32836456512928197,0.2987237385344138
VNM,2021,2021-01-04,2021-12-31,252,252,16.3534,19.8905,0.21629141340638647,0.21612959742305493,0.18349136228472715,0.9053810236869264
VNM,2022,2022-01-03,2022-12-30,251,251,19.9186,11.1867,-0.4383792033576658,-0.5379949187940349,0.2799994162461671,-2.09998623096088
VNM,2023,2023-01-03,2023-12-29,250,250,11.5929,12.8933,0.1121721053403375,0.18276844662474287,0.2821201677130204,0.47060955514459424
VNM,2024,2024-01-02,2024-12-31,252,252,12.6937,11.5062,-0.09355034387136929,-0.09498888643180581,0.19414940232427053,-0.7467902795273288
VNM,2025,2025-01-02,2025-12-31,250,250,11.5955,19.04,0.6420162994265017,0.5603583118005698,0.32642603877718085,1.563473041894619
FVD,2016,2016-01-04,2016-12-30,252,251,18.8005,22.8086,0.21319113853354965,0.20048832387217158,0.11324921337197359,1.3288244517680134
FVD,2017,2017-01-03,2017-12-29,251,251,22.8981,25.6628,0.12073927531105211,0.12016304779340074,0.05946696154771106,1.1798660292590883
FVD,2018,2018-01-02,2018-12-31,251,251,25.6212,24.7664,-0.03336299626871497,-0.028557302522705018,0.11948008817140042,-0.6574928402296663
FVD,2019,2019-01-02,2019-12-31,252,252,24.6131,31.3491,0.2736754004981088,0.2402121188586015,0.0939851740447427,2.0238523872717296
FVD,2020,2020-01-02,2020-12-31,253,253,31.2882,31.1535,-0.004305137400042125,0.0532855219899451,0.34454513108951407,0.009535824754091525
FVD,2021,2021-01-04,2021-12-31,252,252,30.7537,38.7796,0.26097347636219403,0.2250801026641469,0.10991670066682246,1.5928435042355082
FVD,2022,2022-01-03,2022-12-30,251,251,38.6174,36.7275,-0.048939079275145514,-0.03921798890641668,0.17570018560940143,-0.5077853992980801
FVD,2023,2023-01-03,2023-12-29,250,250,36.8287,38.2376,0.0382554909622117,0.04751177769309987,0.11770688571984002,-0.021139139751114276
FVD,2024,2024-01-02,2024-12-31,252,252,38.3695,42.0784,0.09666271387430125,0.10167888134574965,0.10919333125604663,0.4732787318720795
FVD,2025,2025-01-02,2025-12-31,250,250,41.8952,46.08,0.09988733792892734,0.10320207136899473,0.1532060879671995,0.3472582067390492
ECH,2016,2016-01-04,2016-12-30,252,251,23.4137,28.2811,0.20788683548520748,0.2109408553024832,0.2063408301494155,0.7799758059805357
ECH,2017,2017-01-03,2017-12-29,251,251,28.1451,40.3244,0.43273251827138637,0.37313583823691115,0.18405286247027214,1.7556686372595995
ECH,2018,2018-01-02,2018-12-31,251,251,41.2788,32.4555,-0.21374894619029616,-0.2003034415097591,0.1877826750435839,-1.3329421441656653
ECH,2019,2019-01-02,2019-12-31,252,252,32.6279,26.6817,-0.18224280447102015,-0.17109587142641214,0.22408426872151774,-0.9866639576613052
ECH,2020,2020-01-02,2020-12-31,253,253,27.2981,24.7786,-0.09229580080664956,0.01907179795502994,0.4260643427605234,-0.07259044923727348
ECH,2021,2021-01-04,2021-12-31,252,252,25.3281,19.5384,-0.2285880109443661,-0.18328096275804384,0.3285864710397307,-0.7099530361669604
ECH,2022,2022-01-03,2022-12-30,251,251,19.623,24.4422,0.24558935942516436,0.2891180505387003,0.3597074802466665,0.6647569585562332
ECH,2023,2023-01-03,2023-12-29,250,250,23.7565,26.6473,0.12168459158546097,0.1235910260841906,0.27076687994240506,0.27178739918207195
ECH,2024,2024-01-02,2024-12-31,252,252,26.364,24.3374,-0.07686997420725239,-0.06905599920677119,0.20807355336679959,-0.5721822753557487
ECH,2025,2025-01-02,2025-12-31,250,250,24.075,40.4,0.6780893042575284,0.5470795092887688,0.2677487237911692,1.856514952715391
ITB,2016,2016-01-04,2016-12-30,252,251,24.5642,25.7882,0.04982861237084868,0.07144118416427545,0.21289950268039645,0.10071035345001642
